Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Mitigating Cognitive Biases in Clinical Decision-Making Through Multi-Agent Conversations Using Large Language Models: Simulation Study.,Ke Y; Yang R; Lie SA; Lim TXY; Ning Y; Li I; Abdullah HR; Ting DSW; Liu N,"BACKGROUND: Cognitive biases in clinical decision-making significantly contribute to errors in diagnosis and suboptimal patient outcomes. Addressing these biases presents a formidable challenge in the medical field. OBJECTIVE: This study aimed to explore the role of large language models (LLMs) in mitigating these biases through the use of the multi-agent framework. We simulate the clinical decision-making processes through multi-agent conversation and evaluate its efficacy in improving diagnostic accuracy compared with humans. METHODS: A total of 16 published and unpublished case reports where cognitive biases have resulted in misdiagnoses were identified from the literature. In the multi-agent framework, we leveraged GPT-4 (OpenAI) to facilitate interactions among different simulated agents to replicate clinical team dynamics. Each agent was assigned a distinct role: (1) making the final diagnosis after considering the discussions, (2) acting as a devil's advocate to correct confirmation and anchoring biases, (3) serving as a field expert in the required medical subspecialty, (4) facilitating discussions to mitigate premature closure bias, and (5) recording and summarizing findings. We tested varying combinations of these agents within the framework to determine which configuration yielded the highest rate of correct final diagnoses. Each scenario was repeated 5 times for consistency. The accuracy of the initial diagnoses and the final differential diagnoses were evaluated, and comparisons with human-generated answers were made using the Fisher exact test. RESULTS: A total of 240 responses were evaluated (3 different multi-agent frameworks). The initial diagnosis had an accuracy of 0% (0/80). However, following multi-agent discussions, the accuracy for the top 2 differential diagnoses increased to 76% (61/80) for the best-performing multi-agent framework (Framework 4-C). This was significantly higher compared with the accuracy achieved by human evaluators (odds ratio 3.49; P=.002). CONCLUSIONS: The multi-agent framework demonstrated an ability to re-evaluate and correct misconceptions, even in scenarios with misleading initial investigations. In addition, the LLM-driven, multi-agent conversation framework shows promise in enhancing diagnostic accuracy in diagnostically challenging medical scenarios.",2024,Nov,J Med Internet Res,26,,e59439,,10.2196/59439,39561363,#72,Ke 2024,"",LLM-driven MAS in clinical decision support
Large language model-based multiagent collaboration for abstract screening toward automated systematic reviews.,Akinseloyin O; Jiang X; Palade V,"Systematic reviews (SRs) are essential for evidence-based practice but remain labor-intensive, especially during abstract screening. This study evaluates whether multiple large language models (multi-LLMs) collaboration can improve the efficiency and reduce costs for abstract screening. Abstract screening was framed as a question-answering (QA) task using cost-effective LLMs. Three multi-LLM collaboration strategies were evaluated, including majority voting by averaging opinions of peers, multi-agent debate for answer refinement, and LLM-based adjudication against answers of individual QA baselines. These strategies were evaluated on 28 SRs of the CLEF eHealth 2019 technology-assisted review benchmark using standard performance metrics such as mean average precision (MAP) and work saved over sampling at 95% recall (work saved over sampling WSS@95%). Multi-LLM collaboration significantly outperformed QA baselines. Majority voting was overall the best strategy, achieving the highest MAP 0.462 and 0.341 on subsets of SRs about clinical intervention and diagnostic technology assessment, respectively, with WSS@95% 0.606 and 0.680, enabling in theory up to 68% workload reduction at 95% recall of all relevant studies. Multi-agent debate improved weaker models most. Our own adjudicator-as-a-ranker method was the second strongest approach, surpassing adjudicator-as-a-judge, but at a significantly higher cost than majority voting and debating. Multi-LLM collaboration substantially improves abstract screening efficiency, and the success lies in model diversity. Making the best use of diversity, majority voting stands out in terms of both excellent performance and low cost compared to adjudication. Despite context-dependent gains and diminishing model diversity, multi-agent debate is still a cost-effective strategy and a potential direction of further research.",2026,,Biol Methods Protoc,11,1,bpag006,,10.1093/biomethods/bpag006,41777589,#74,Akinseloyin 2026,"",""
MedARC: Adaptive multi-agent refinement and collaboration for enhanced medical reasoning in large language models.,Miao Y; Wen J; Luo Y; Li J,"BACKGROUND: Large Language Models (LLMs) have shown remarkable potential in medical question answering (QA), yet their deployment in clinical settings remains limited by hallucinations, inconsistent reasoning, and difficulties in handling complex biomedical information. METHODS: To address these challenges, we propose MedARC (Medical Agent Refinement and Collaboration), a novel multi-agent framework that enhances medical QA through structured debate among multiple LLM agents. MedARC introduces two key mechanisms: (1) structured inter-agent summarization to extract and refine key agreements and disagreements across agents, and (2) confidence-aware aggregation to synthesize final answers based on the most reliable and well-reasoned contributions. RESULTS: We evaluate MedARC on three representative medical QA benchmarks, spanning yes/no, factoid, and open-ended QA tasks. Experimental results demonstrate that MedARC significantly improves performance over zero-shot and chain-of-thought (CoT) prompting baselines. For instance, in the yes/no QA task on PubMedQA, MedARC boosts accuracy from 72.9 % (zero-shot) to 77.2 % using DeepSeek-V3 as the backbone model. Human evaluation further confirms gains in factual consistency and completeness with MedARC. We conduct extensive ablation studies and sensitivity analyses, revealing that MedARC's structured summarization and aggregation modules contribute independently to performance improvements. Additionally, we explore the impact of heterogeneous agent configurations and varying numbers of debate rounds on overall system effectiveness. CONCLUSIONS: Overall, MedARC provides a reliable and scalable solution for enhancing LLM-based medical QA systems. The code for this study is publicly available on GitHub (https://github.com/asdmiao/MedARC).",2026,Feb,Int J Med Inform,206,,106136,,10.1016/j.ijmedinf.2025.106136,41109093,#76,Miao 2026,"",single LLM versus multi-agent framework
DILIConsult: A Multi-Agent Large Language Model Framework for Evaluating Drug-Induced Liver Injury in ICU Settings.,Ho AZT; Law JZF; Wang A; Lim DYZ; Ong JCL,"BACKGROUND: Large language models (LLMs) can support clinical decision-making by parsing databases and extracting relevant information. However, evaluating drug-induced liver injury (DILI) often requires processing lengthy clinical histories alongside reference materials like LiverTox, which can exceed context lengths of conventional LLMs. Challenges such as information truncation hinder standard approaches like prompt engineering and retrieval-augmented generation (RAG). To address these limitations, this study introduces DILIConsult, an agentic LLM pipeline based on GPT-4, designed to intelligently parse clinical and drug information. METHODS: To develop DILIConsult, we compared GPT-4-Turbo versus GPT-4o for extracting DILI characteristics from LiverTox descriptions. We tested two approaches to analyzing cases of suspected DILI: full-length case analysis versus sequential drug-specific evaluations. We evaluated DILIConsult on cases of suspected DILI identified from the open source Medical Information Mart for Intensive Care-IV (MIMIC-IV) ICU dataset based on American Association for the Study of Liver Diseases (AASLD) and European Association for the Study of the Liver (EASL) criteria. Outputs from DILIConsult were compared against a panel of clinicians comprising an ICU pharmacist, an ICU junior attending physician, and an ICU resident. Responses were evaluated by two senior ICU attending physicians. RESULTS: Using GPT-4o and a sequential approach demonstrated improved performance in the extraction of DILI characteristics and analysis of suspected DILI. DILIConsult achieved the best mean rank of 1.66 ± 0.75 in knowledge recall and ranked second for reasoning (2.00 ± 0.64) and reflection of current medical consensus (2.05 ± 0.62). DILIConsult ranked last with mean ranks of 2.07 ± 0.52 and 2.09 ± 0.72 for less omission of important information and content inaccuracy, respectively. CONCLUSION: DILIConsult demonstrates the potential of LLMs to assist clinicians in evaluating DILI. The findings emphasize the importance of task division in LLM-driven workflows to minimize information loss.",2026,Apr,Pharmacotherapy,46,4,e70131,,10.1002/phar.70131,41826786,#77,HoAZT 2026,"",""
From non-agentic large language models to multi-agent systems in emergency medicine: a scoping review.,Kim H; Jo S; Lim MH; Choi DH,"OBJECTIVE: This study aimed to conduct a scoping review of studies on non-agentic large language models (LLMs), LLM-based agents, and multi-agent systems reported in emergency medicine, and to identify current research trends and major gaps by analyzing their clinical application scope, system structures, evaluation approaches, and input data characteristics. METHODS: The Web of Science, Scopus, PubMed, and CINAHL databases were searched for literature published from March 8, 2021, to March 7, 2026. Among English full-text articles, studies addressing the application, evaluation, or benchmarking of non-agentic LLMs, LLM-based agents, or multi-agent systems in emergency medicine or the emergency department (ED) were included. Through reference tracking, 35 studies were analyzed. RESULTS: Of the 35 included studies, 26 were application studies, 6 were framework studies, and 3 were benchmark studies. The studies were concentrated on a limited set of tasks, including triage, diagnostic and treatment decision support, and documentation. In terms of system type, non-agentic LLMs were the most common (n=25), followed by LLM-based agents (n=7) and multi-agent systems (n=3). Inputs were predominantly text-based, and evaluation mainly relied on expert comparison, retrospective record review, vignette-based comparison, and task-specific performance metrics. In contrast, workflow-level, prospective, and safety and trustworthiness-oriented evaluation were limited. CONCLUSION: LLMs in emergency medicine have shown potential for task-level decision support and documentation. However, current literature remains focused on non-agentic LLM-based task support, while studies reflecting the dynamic workflow of real EDs remain limited. Future research should expand toward workflow-aware design, operational evaluation, multimodal data integration, multi-agent-based role coordination, and safety and trustworthiness validation.",2026,Apr,Clin Exp Emerg Med,,,,,10.15441/ceem.26.136,41952479,#79,Kim 2026,"",""
A Multi-Agent LLM Network for Suggesting and Correcting Human Activity and Posture Annotations.,Le H; Choube A; Swain VD; Mishra V; Intille S,"Accurate human activity recognition (HAR) is critical for health monitoring and behavior-aware systems. Developing reliable HAR models, however, requires large, high-quality labeled datasets that are challenging to collect in free-living settings. Although self-reports offer a practical solution for acquiring activity annotations, they are prone to recall biases, missing data, and human errors. Context-assisted recall can help participants remember their activities more accurately by providing visualizations of multiple data streams, but triangulating this information remains a burdensome and cognitively demanding task. In this work, we adapt GLOSS, a multi-agent LLM system that can triangulate self-reports and passive sensing data to assist participants in activity recall and annotation by suggesting the most likely activities. Our results show that GLOSS provides reasonable activity suggestions that align with human recall (63-75% agreement) and even effectively identifies and corrects common human annotation errors. These findings demonstrate the potential of LLM-powered, human-in-the-loop approaches to improve the quality and scalability of activity annotation in real-world HAR studies.",2025,,Proc ACM Int Conf Ubiquitous Comput,2025,Companion,877-884,,10.1145/3714394.3756185,41551017,#82,Le 2025,"",""
Autonomous Analysis of Curated Patient Data Using a Large Language Model-Based Multiagent Framework.,Wang J; Swoboda DM; Nazha A,"PURPOSE: Analyzing complex medical data sets is specialized and time-consuming. This study aimed to develop and evaluate a novel multiagent artificial intelligence (AI) framework for automating medical data analysis workflows and to compare its performance against nonagent-based approaches using large language models (LLMs). METHODS: A six-party AI agent system was developed using the AutoGen platform, with specialized agents for planning, data retrieval, cleaning, statistical analysis, and review, powered by OpenAI gpt-4o. This framework was applied to deidentified single patient-level data sets from 20 recent studies in the field of bone marrow transplantation (2021-2023). The primary objective was to evaluate its accuracy in replicating published primary outcomes, benchmarked against direct use of the Web site-based ChatGPT 4o. RESULTS: The multiagent framework successfully replicated 53.3% (95% CI, 40.7 to 66.0) of primary outcomes, significantly outperforming ChatGPT 4o (35.0% [95% CI, 22.9 to 47.1]; P = .04). The agent framework's failures were predominantly due to data transformation issues (46.4%) and analysis code errors (21.4%). In contrast, ChatGPT 4o failures largely stemmed from incorrect statistical method application (38.4%) and data transformation (45.6%), often attempting to resolve code errors by switching to alternative, incorrect statistical methods. Hallucinations of variables or results were not observed in the multiagent approach. CONCLUSION: Our multiagent AI framework demonstrated superior accuracy and robustness in automating biomedical data analysis compared with a generalized LLM.",2025,Dec,JCO Clin Cancer Inform,9,,e2500176,,10.1200/CCI-25-00176,41418093,#83,Wang 2025,"",single LLM versus multi-agent framework
A multiagent large language model-based system to simulate the liver transplant selection committee: a retrospective cohort study.,Hasjim BJ; Azarfar G; Lee FG; Diwan TS; Raju S; Gross JA; Sidhu A; Ichii H; Krishnan RG; Mamdani M; Sharma D; Bhat M,"BACKGROUND: Transplantation is one of the few areas in medicine in which the definitive treatment is rationed. Subjective decision making poses challenges for the transplantation selection process. Large language models (LLMs), through autonomous artificial intelligence (AI) agents, have implications in objective decision making for complex problems; however, there are gaps in the literature regarding their clinical applications. We aimed to examine the performance of a multidisciplinary committee of AI agents in the liver transplantation selection process as a proof of concept towards improving the objectivity of decision making. METHODS: This retrospective, hybrid cohort study incorporated both real-world observational data and artificially generated data derived from the Scientific Registry of Transplant Recipients (SRTR) database in the USA. We retrospectively analysed adult patients (aged ≥18 years) who received liver transplants from Jan 1, 2004 to June 1, 2024, and generated a hypothetical cohort of patients with standard absolute contraindications to liver transplantation from a random subset of the cohort. An AI selection committee was configured, consisting of four LLM-based AI agents using GPT-4o-2024-08-06 prompted with specialised roles: transplant hepatologist, transplant surgeon, cardiologist, and social worker. This committee was instructed to assess clinical vignettes generated from the SRTR tabular data (eg, demographics, social determinants of health, end-stage liver disease, comorbidities, and laboratory measurements), placing candidates on the transplantation waitlist if liver transplantation would likely offer a 6-month or 1-year survival benefit or rejecting candidates for transplantation if contraindications were present or if such a survival benefit was unlikely. The primary objective was to assess the accuracy, sensitivity, and specificity of the AI selection committee in predicting 1-year post-transplantation survival. The secondary objectives were the accuracy, sensitivity, and specificity of identifying contraindications to liver transplantation and predicting 6-month post-transplantation survival, and the numbers of false-negative cases (ie, patients who were rejected by the AI selection committee but did receive a transplant) and false-positive cases (ie, patients who were placed on the waitlist by the AI selection committee but had assigned contraindications to transplantation). FINDINGS: Of 8412 patients, 7033 (83·6%) were placed on the transplantation waitlist and 1379 (16·4%) were assigned to the hypothetical cohort and had contraindications to liver transplantation. For the prediction of 1-year post-transplantation survival, the AI selection committee had an accuracy of 92·00% (95% CI 91·43-92·58), a sensitivity of 1·00 (0·99-1·00), and a specificity of 0·66 (0·64-0·68). For identifying absolute contraindications to liver transplantation and predicting 6-month survival, accuracies were 98·19% (97·90-98·44) and 94·88% (94·37-95·29), respectively; sensitivities were 1·00 (0·99-1·00) in both cases; and specificities were 0·91 (0·89-0·92) and 0·75 (0·73-0·77), respectively. The most common reason for the AI selection committee to reject patients in false-negative cases was hepatocellular carcinoma that did not meet the Milan criteria (16 [62%] of 26 as a contraindication to transplantation, 16 [62%] of 26 rejected on the basis of 6-month survival prediction, and 14 [61%] of 23 rejected on the basis of 1-year survival prediction); the most common cause of death in false-positive cases was malignancy at 1 year (137 [28%] of 481). INTERPRETATION: LLMs can be leveraged through a multiagent AI system to simulate discussions of a liver transplantation selection committee and provide accurate, objective insights on patients who might or might not benefit from a liver transplant. Lessons learned from this study are a step towards making the liver transplantation selection process more equitable and objective. FUNDING: Transplant AI Initiative, Ajmera Transplant Centre, University Health Network.",2026,Mar,Lancet Digit Health,8,3,100966,,10.1016/j.landig.2025.100966,41951492,#86,Hasjim 2026,"",""
Independent and collaborative performance of large language models and healthcare professionals in diagnosis and triage.,Chen M; Wu Y; Ma J; Jia X; Gao C; Zhao F; Qiao Y,"Large language models (LLMs) show promising diagnostic and triage performance, yet direct comparisons with healthcare professionals (HCPs) and collaborative effects remain limited. We conducted a systematic review and meta-analysis of studies (January 2020 to September 2025) comparing the diagnostic or triage accuracy of LLMs, HCPs, or their collaboration across seven databases. Studies using multiple-choice formats rather than open diagnostic generation were excluded. We extracted top-1, top-3, top-5, and top-10 diagnostic and triage accuracies and pooled results using multilevel random-effects models to account for nested observations. Of 10,398 studies screened, 50 met criteria, evaluating 25 different LLMs across diverse medical specialties. The relative diagnostic accuracy of LLMs versus HCPs progressively improved from 0.89 (95% CI, 0.79-1.00) for top-1 to 0.91 (0.83-1.00) for top-3, 1.04 (0.89-1.22) for top-5, and 1.17 (0.87-1.57) for top-10 diagnoses, with significant model variability. LLM-assisted HCPs outperformed HCPs alone, with relative diagnostic accuracy of 1.13 (1.00-1.27) for top-1, 1.11 (1.01-1.23) for top-3, 1.42 (1.16-1.73) for top-5, and 1.33 (0.94-1.87) for top-10 diagnoses. Triage accuracy was similar between LLMs and HCPs (1.01 [0.94-1.09]). These findings show potential for LLM integration but methodological flaws in studies necessitate rigorous real-world evaluation before clinical implementation.",2026,Feb,NPJ Digit Med,9,1,,,10.1038/s41746-026-02409-8,41652180,#87,Chen 2026,"",""
Model confrontation and collaboration: A debate intelligence framework for enhancing medical reasoning in large language models.,Sun X; Hong Q; Zhang M; Li Y; Chen T; Huang Z; Liang G; Tang W; Xu S; Ni X; Pang J; Wan P; Long E,"Medical reasoning is fundamental to clinical decision-making, underpinning tasks such as patient communication, diagnosis, and treatment planning. Inspired by psychological findings that peer interaction promotes self-correction, we introduce model confrontation and collaboration (MCC), a debate intelligence framework that transcends static ensemble methods by integrating critique and self-reflection to iteratively refine reasoning through structured, multi-round confrontation and collaboration among diverse large language models (LLMs). In multiple-choice benchmarks, MCC achieved mean accuracy on MedQA (92.6%) and PubMedQA (84.8%) and demonstrated strong performance on medical subsets of MMLU. In long-form medical question answering, MCC outperformed all individual LLMs and the domain-specific LLM Med-PaLM 2 in both physician and layperson evaluations. In diagnostic dialog tasks, MCC further excelled in both history-taking and diagnostic accuracy, reaching a top-1 diagnosis rate of 80%. These results position MCC as a scalable, model-agnostic framework that advances medical reasoning through collaborative deliberation.",2026,Jan,Cell Rep Med,7,1,102547,,10.1016/j.xcrm.2025.102547,41494532,#88,Sun 2026,"",single LLM versus multi-agent framework
AKI-Detector: A Multi-Agent Framework by Integrating Machine Learning and Large Language Models for Early Prediction of Acute Kidney Injury in ICU.,Shi T; Xiao M; Xu H; Zhao H; Kong G,"Acute kidney injury (AKI) is a severe condition in the ICU, where early prediction is crucial for timely intervention and prevention. Traditional machine learning (ML) models lack interpretability, which limits real-world applicability. We propose AKI-Detector, a novel multi-agent framework that integrates structured electronic health records (EHR)-based ML models, large language models (LLMs), and retrieval-augmented generation (RAG) to enhance clinical reasoning, accuracy, and interpretability of AKI prediction. The proposed AKI-Detector mitigates LLM hallucinations by integrating ML models and bridges the gap between algorithmic output and clinically interpretable reports. Evaluated on ICU data from MIMIC-IV, AKI-Detector outperformed ML models such as CatBoost and GRU, and achieved an accuracy of 0.827, precision of 0.672, recall of 0.542, and F1-score of 0.600 on the test cohort, demonstrating balanced and reliable predictive performance. This work highlights the promise of real-world big data and LLM-powered multi-agent systems to support trustworthy and explainable AI for clinical prediction.",2024,,AMIA Annu Symp Proc,2024,,1190-1199,,,41726403,#89,Shi 2024,"",""
Improving Rare and Common ICD Coding via a Multi-Agent LLM-Based Approach,"Li, R.; Wang, X.; Yu, H.","Large Language Models (LLMs) have shown strong performance in tasks such as zero- and few-shot information extraction from clinical text without domain-specific training. However, in the ICD coding task, LLMs often hallucinate key details and produce high-recall but low-precision outputs due to the high-dimensional and imbalanced nature of ICD code distributions. Existing LLM-based approaches typically fail to capture the complex, dynamic interactions among human agents involved in real-world coding workflows-such as patients, physicians, and coders-and often lack interpretability and reliability. To address these challenges, we propose a novel multi-agent framework for ICD coding that simulates the real-world process using five role-specific LLM agents-patient, physician, coder, reviewer, and adjuster-and integrates the Subjective, Objective, Assessment, and Plan (SOAP) structure from Electronic Health Records to enhance performance. Evaluated on the MIMIC-III dataset, our method significantly outperforms zero-shot Chain-of-Thought prompting, self-consistency strategies, and LLM-designed agent baselines, particularly for rare codes. Ablation studies confirm the contribution of each agent role, and the system achieves competitive performance with state-of-the-art fine-tuned models, while offering better explainability and requiring no task-specific pre-training.  © 2025 Copyright held by the owner/author(s).",2025,,CIKM 2025 - Proceedings of the 34th ACM International Conference on Information and Knowledge Management,,,4945-4949,,10.1145/3746252.3760894,,#95,Li 2025,"",MAS with LLM-driven role-playing agents; single LLM versus multi-agent framework
Advancements in Multi-Agent Large Language Model Systems for Next- Generation AI: Multi- Agent LLMs in Healthcare and Diagnostics,"Gopalakrishnan, A.; Ramya, G.; Preethiya, T.; Paranthaman, R.N.; Ashwini, S.; Dhwarithaa, R.","Large Language Models (LLMs) have enabled AI research. Their easier design of new ways to handle challenges across a wide range of applications has increased this discipline's influence. Multi- agent LLM systems in diagnostics and healthcare can revolutionize clinical decision- making, precision medicine, and patient care. This chapter examines multi- agent LLMs' medical concepts, designs, and applications. Multi- agent systems can scale, modularize, and specialize and integrate several medical specializations and contextual knowledge. This chapters covers the technical implementation of these systems, including advanced Large Language Models, quality control measures, guardrails, self- reflection, integration with EHRs, and explainable AI for decision transparency. We discuss possible benefits with future directions, like integrating IoT devices and creating advanced natural language interfaces. © 2026, IGI Global Scientific Publishing.",2025,,Advancements in Multi-Agent Large Language Model Systems for Next-Generation AI,,,33-52,,10.4018/979-8-3373-1419-8.ch002,,#101,Gopalakrishnan 2025,"",LLM-driven MAS in clinical decision support
A Self-Evolving Framework for Multi-Agent Medical Consultation Based on Large Language Models,"Chen, K.; Qi, J.; Huo, J.; Tian, P.; Meng, F.; Yang, X.; Gao, Y.","We propose a multi-agent approach (SeM-Agents) based on large language models for medical consultations. This framework incorporates various doctor roles and auxiliary roles, with agents communicating through natural language. Using a residual structure, the system conducts multi-round medical consultations based on the patient’s treatment background and symptoms. In the final summary and output stage of the consultation, it utilizes two experience databases—the Correct Consultation Experience Database and the Chain of Thought (CoT) Experience Database—which evolve with accumulated experience during consultations. This evolution drives the framework’s self-improvement, significantly enhancing the rationality and accuracy of the consultations. To ensure that the conclusions are safe, reliable, and aligned with human values, the final decisions undergo a safety review before being provided to the patient. This framework achieved accuracy rates of 89.2% and 83.1% on the MedQA and PubMedQA datasets, respectively. ©2025 IEEE.",2025,,"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings",,,,,10.1109/ICASSP49660.2025.10889517,,#102,Chen 2025,"",MAS with LLM-driven role-playing agents
MedChat: A Multi-Agent Framework for Multimodal Diagnosis with Large Language Models,"Liu, P.R.; Bansal, S.; Dinh, J.; Pawar, A.; Satishkumar, R.; Desai, S.; Gupta, N.; Wang, X.; Hu, S.","The integration of deep learning-based glaucoma detection with large language models (LLMs) presents an automated strategy to mitigate ophthalmologist shortages and improve clinical reporting efficiency. However, applying general LLMs to medical imaging remains challenging due to hallucinations, limited interpretability, and insufficient domain-specific medical knowledge, which can potentially reduce clinical accuracy. Although recent approaches combining imaging models with LLM reasoning have improved reporting, they typically rely on a single generalist agent, restricting their capacity to emulate the diverse and complex reasoning found in multidisciplinary medical teams. To address these limitations, we propose MedChat, a multi-agent diagnostic framework and platform that combines specialized vision models with multiple role-specific LLM agents, all coordinated by a director agent. This design enhances reliability, reduces hallucination risk, and enables interactive diagnostic reporting through an interface tailored for clinical review and educational use. Code available at https://github.com/Purdue-M2/MedChat. © 2025 IEEE.",2025,,"Proceedings of the International Conference on Multimedia Information Processing and Retrieval, MIPR",,,456-462,,10.1109/MIPR67560.2025.00078,,#105,Liu 2025,"",LLM-driven MAS in clinical decision support; MAS with LLM-driven role-playing agents; single LLM versus multi-agent framework
LLM-augmented multi-agent cooperative framework for medical case retrieval in cardiology,"Deng, L.; Hu, H.; Lu, K.; He, P.","Retrieving relevant medical cases or documents is a critical information retrieval (IR) task in clinical decision support, particularly in cardiology, yet traditional search methods struggle with complex semantic queries in healthcare. Recent advances in large language models offer powerful language understanding, but LLMs alone cannot reliably retrieve factual cases due to knowledge cutoffs and hallucinations. We focus on a case retrieval task – given a textual description of a patient case, find similar prior cases or pertinent literature – formulated as a general IR problem rather than a purely medical study. Conventional lexical methods often miss semantic similarities, while static dense retrievers falter on out-of-domain medical vocabularies. LLMs can comprehend queries and context, but without external knowledge they may produce inaccurate or non-transparent results. We propose a novel LLM-augmented multi-agent retrieval framework that marries an LLM with dedicated retrieval agents in an iterative cooperation mechanism. Our method uses a LLM as a “planner” agent to reformulate queries and integrate medical (e.g., cardiology) context, and a retrieval agent (with a knowledge index) to fetch candidate cases; the agents interact iteratively, refining search and reranking results via a retrieval-augmented generation (RAG) loop. This multi-agent design contributes three innovations: (1) an iterative query refinement strategy guided by LLM reasoning chains; (2) a cooperative retrieval architecture where an LLM agent and a search agent exchange information to improve relevance; (3) an LLM-based relevance estimator that grounds the LLM with retrieved evidence to mitigate hallucinations. Experiments on three open medical text datasets show our method outperforms baseline models by 5.3–6.1 percentage points in Recall@10 and NDCG, with statistically significant gains. We also observe improved generalization to novel conditions and robustness to query noise compared to baselines. The proposed framework, while validated on medical text, is broadly applicable to other knowledge-intensive retrieval tasks (legal case search, technical support archives), providing a foundation for intelligent IR systems that leverage both learning-based understanding and explicit retrieval for transparency and up-to-date knowledge. © The Author(s) 2025.",2025,,Journal of King Saud University - Computer and Information Sciences,37,9,,,10.1007/s44443-025-00311-z,,#109,Deng 2025,"",LLM-driven MAS in clinical decision support; MAS with LLM-driven role-playing agents; single LLM versus multi-agent framework
Alignment of large language models in solving medical ethical dilemmas,"Sorin, V.; Glicksberg, B.S.; Korfiatis, P.; Collins, J.D.; Yeow, M.-E.; Brandeland, M.; Nadkarni, G.N.; Klang, E.","Background: Large language models (LLMs) are entering clinical workflows, yet their alignment with medical-ethical principles is unclear. Objective: To evaluate how LLMs reconcile deontological and utilitarian reasoning in medically adapted “Trolley dilemma” scenarios. Methods: We tested 14 LLMs, including GPT-o1-preview and DeepSeek-R1-Distill-Llama, using five medically adapted Trolley dilemmas sourced from philosophical and real-world scenarios. Each model generated 10 independent answers per case (overall 700 responses). Responses were forced to “yes” (utilitarian) or “no” (deontological). The primary outcome was the proportion of utilitarian choices. χ2 tests compared models. Results: LLM responses varied. Some models, such as GPT-4 and Gemma, selected the utilitarian option in 20% of cases, while others, like Qwen-2-7B, reached 80% (p < .001). GPT-o1-preview and DeepSeek-R1-Distill-Llama selected utilitarian responses in 44% and 38% of cases, respectively. Some models selected the consequence-maximizing option in vignettes where doing so required overriding consent or endorsing intentional harm within the scenario framing. Seven of the fourteen models tested recommended impermissible medical actions, including nonconsensual limb amputation, killing a healthy person for organ harvesting, and transferring a patient to hospice against their wishes, in 44 of 700 outputs (6.3 %). Conclusions: In this constrained forced-choice stress test, models occasionally endorsed boundary-violating actions within the vignette framing. These results do not generalize to routine clinical decision-making, but motivate further benchmarked evaluation of refusal behavior and boundary constraints in ethically sensitive medical contexts. We must carefully define how these models influence clinical decisions, establish robust ethical guidelines for their use, and ensure that fundamental ethical norms are not compromised. © The Author(s) 2026. This article is distributed under the terms of the Creative Commons Attribution-NonCommercial 4.0 License (https://creativecommons.org/licenses/by-nc/4.0/) which permits non-commercial use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access page (https://us.sagepub.com/en-us/nam/open-access-at-sage).",2026,,Digital Health,12,,,,10.1177/20552076261428395,,#110,Sorin 2026,"",LLM-driven MAS in clinical decision support
Self-Aware Intelligent Medical Rescue Unmanned Team via Large Language Model and Multi-Agent Reinforcement Learning,"Wang, X.; Zhi, G.; Tang, Z.; Jin, H.; Zhang, Q.; Li, N.","The evolution of medical rescue operations from traditional to future scenarios demands innovative approaches to intelligent automation. This paper proposes a self-award medical rescue team, leveraging cutting-edge technologies such as Large Language Models (LLMs), Multi-Agent Reinforcement Learning (MARL), and unmanned equipment to revolutionize frontline medical support. Our proposal of Unmanned and Digitalized Medical Rescue Team (UDMRT) emphasizes the decomposition of complex rescue tasks into manageable subtasks, facilitating improved learning and coordination among agents. This paper first implemented the rational assignment of roles for unmanned intelligent agents under complex tasks based on CMA-LLM (Cooperative Multi-Agent Large Language Models), forming combat teams with different functions. As for these teams, the paper proposed a novel hierarchical learning method designed for composite multi-agent tasks which addresses the challenge of coordination in complex domains by leveraging subtasks assignment. This method reduces observation spaces and encourages the reuse of subtask-specific policies, leading to more efficient learning and enhanced generalization capabilities. This architecture’s modularity allows for better generalization to new environment configurations. Our work can adapt to new scenarios for practical applications in real-world multi-agent systems, where tasks are frequently comprised of discrete instances of localized interactions. © 2024 Copyright held by the owner/author(s).",2025,,ACM International Conference Proceeding Series,,,119-124,,10.1145/3744103.3744144,,#114,Wang 2025,"",Awaiting classification
